"endorsement_count","name","perfil_id"
"3","Perl",35
"3","Heroku",35
"3","CVS",35
"2","PostgreSQL",35
"2","Object Oriented Design",35
"1","Multithreading",35
"1","Parallel Computing",35
"1","Scalability",35
"21","Software Engineering",35
"1","Flask",35
"1","Unix Shell Scripting",35
"1","REST",35
"1","Escalabilidade",35
"2","Algoritmo",35
"2","C (linguagem de programação)",35
"4","Engenharia de software",35
"3","Código aberto",35
"3","Desenvolvimento de software",35
"1","Ciência da computação",35
"1","Programação de computadores",35
"1","Shell script",35
"1","Sistemas distribuídos",35
"5","Inglês",36
"","",36
"4","Comunicação interpessoal",36
"","",36
"3","Motivação de equipes",36
"","",36
"2","Gerenciamento de processos de negócios",36
"2","Língua Portuguesa",36
"2","Liderança de equipe",36
"2","Microsoft Office",36
"28","PHP",37
"","",37
"","",37
"29","JavaScript",37
"","",37
"","",37
"21","Python",37
"","",37
"","",37
"4","Scrum",37
"13","Performance Improvement",37
"8","Team Leadership",37
"7","Linux",37
"7","Git",37
"6","MySQL",37
"3","Nginx",37
"2","Django",37
"5","Laravel",37
"2","WordPress",37
"1","PostgreSQL",37
"1","AngularJS",37
"4","TDD",37
"10","Python",38
"","",38
"","",38
"11","Scrum",38
"","",38
"","",38
"4","Desenvolvimento de software",38
"","",38
"4","Engenharia de software",38
"2","Desenvolvimento orientado a testes",38
"3","Agile Methodologies",38
"4","Análise de sistemas",38
"4","Análise de requisitos",38
"4","Linux",38
"1","Coordenação de projetos",38
"","Liderança de equipe",38
"3","PHP",38
"1","Java",38
"1","HTML5",38
"15","JavaScript",38
"4","jQuery",38
"5","CSS",38
"4","SQL",38
"6","UML",38
"1","Web Services",38
"","REST",38
"","SOAP",38
"1","Web Development",38
"2","Git",38
"1","PostgreSQL",38
"3","Jenkins",38
"","Nginx",38
"","Servidor Apache",38
"1","Sistemas operacionais",38
"14","Microsoft Excel",39
"","",39
"","",39
"11","Microsoft Office",39
"","",39
"12","Microsoft PowerPoint",39
"","",39
"8","Planejamento empresarial",39
"8","Planejamento estratégico",39
"6","Business",39
"8","Estratégia empresarial",39
"4","Business Analysis",39
"4","Business Planning",39
"4","ERP (Planejamento de recursos empresariais)",39
"1","Excel Dashboards",39
"4","Inglês",39
"3","Gestão",39
"5","Sistemas operacionais",39
"2","Business Intelligence Tools",39
"2","Strategic Consulting",39
"3","Liderança de equipe",39
"1","Gestão de informações",39
"2","Inteligência empresarial",39
