"date","degree","major","school","perfil_id"
"2016 – 2017","Nome do diploma
Master’s Degree","Área de estudo
Business, Management, Marketing, and Related Support Services","Nova School of Business and Economics",104
"2015 – 2016","Nome do diploma
Master’s Degree","Área de estudo
Business, Management, Marketing, and Related Support Services","Insper",104
"2006 – 2011","Nome do diploma
Bachelor of Engineering (B.E.)","Área de estudo
Engineering/Industrial Management","Universidade Presbiteriana Mackenzie",104
"2006 – 2010","Nome do diploma
Bacherelando","Área de estudo
Ciência da Computação","Instituto de Ensino Superior Fucapi",105
"2015 – 2017","Nome do diploma
Gestão Comercial","Área de estudo
Gestão Comercial","Universidade Anhembi Morumbi",106
"2016 – 2020","","Área de estudo
Administração de Empresas","Centro Universitário Nove de Julho",107
"1991 – 2000","Nome do diploma
Graduação","Área de estudo
Direito","Faculdade de direito UFPR",108
"2011 – 2012","Nome do diploma
Marketing Digital e Publicidade On Line","Área de estudo
Marketing Digital, Midias Socias","Marketing Digital- Claudio Torres",109
"2009 – 2011","Nome do diploma
Analista de Sistemas","Área de estudo
TI","FTEC",109
"1999 – 2006","Nome do diploma
Bacharel","Área de estudo
Marketing","PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul",109
"2014 – 2018","","Área de estudo
Sistemas de Informação","Universidade Federal do Amazonas",110
"2012 – 2014","Nome do diploma
Técnico em Informática","","Instituto Federal de Educação, Ciência e Tecnologia do Amazonas - IFAM",110
