;Administração;Agronegócio;Agronomia;Arquitetura e Urbanismo;Bioquímica;Ciência da Computação;Ciência e Tecnologia de Laticínios;Ciências Biológicas ;Ciências Contábeis;Ciências Econômicas;Ciências Sociais ;Comunicação Social ;Cooperativismo;Dança ;Direito;Economia Doméstica ;Educação Física ;Educação Infantil ;Educação do Campo ;Enfermagem;Engenharia Agrícola e Ambiental;Engenharia Ambiental;Engenharia Civil;Engenharia Elétrica;Engenharia Florestal;Engenharia Mecânica;Engenharia Química;Engenharia de Agrimensura e Cartográfica;Engenharia de Alimentos;Engenharia de Produção;Física ;Geografia ;História ;Letras ;Matemática ;Medicina;Medicina Veterinária;Nutrição;Pedagogia ;Química ;Secretariado Executivo Trilíngue;Serviço Social;Zootecnia
Engenharia Agrícola e Ambiental;0.556256816957225;0.6016054407707224;0.7084005584863559;0.5226086576250402;0.6076188955375121;0.5897847203269247;0.5374043274480262;0.5851699196491514;0.550344427533705;0.5733140348036452;0.5117068207413644;0.5147547132111325;0.5344259196382888;0.5088613739407212;0.5164134383732684;0.5228234475133305;0.5151826408168422;0.5091558646474824;0.5334833974811197;0.5249578269962747;1.0;0.7290683513184422;0.6726598085139792;0.623845029843697;0.6707885035925384;0.664113427476221;0.6356989522329256;0.6699719293722293;0.6096172222433642;0.6279538778314109;0.6093245949561804;0.5613459812129656;0.5099197919936267;0.5081434480027466;0.5541506350549367;0.517034412795787;0.5420592653307136;0.513468835474864;0.5070715289695841;0.6185704879511648;0.5109283378223531;0.5050547483019976;0.640668782258031
Engenharia Ambiental;0.5681703039348728;0.5693172112907698;0.6380060599457704;0.5411488507972927;0.6388050243219802;0.6284461029812458;0.539463562917801;0.5918705763078393;0.5636829539562376;0.584288947526332;0.5289088480182659;0.5344143219381002;0.543381140376091;0.5186921358778761;0.5243582853290062;0.5347228697366406;0.5264466905649249;0.5179105432902744;0.5423822349866824;0.5370068199615855;0.7290683513184422;1.0;0.7416250603219748;0.6358882453180171;0.6688901999204205;0.6469270656312197;0.6988968937086273;0.7153431912261266;0.6400425955830605;0.6721786906700695;0.619439812777339;0.6024759574516427;0.5177497088414401;0.5161854878856811;0.5730191901211448;0.5145486935198711;0.5458610347253834;0.5224319042572461;0.5128565465943676;0.6661344097736844;0.5181386822429419;0.5097406596524481;0.5896783650604281
Engenharia Civil;0.5835572899442528;0.5732035671157866;0.5928813234331547;0.5898509356669838;0.6073670546100522;0.6942407192853779;0.5274784063055316;0.5675731232358695;0.5950679276067881;0.6008988181935138;0.5288452047058321;0.536271698742918;0.5485867286231987;0.527498582183474;0.5293007290768603;0.5243521479770978;0.5340264401113515;0.5183985967571285;0.5279429020305675;0.5298659269682869;0.6726598085139792;0.7416250603219748;1.0;0.6842717631805102;0.6057450652337384;0.7359736230526612;0.6708155139402326;0.8051380596770118;0.6276094436123331;0.7175062831224978;0.6449195007121975;0.5630648606182792;0.5268252881235918;0.523852123988157;0.6147116823711706;0.5192278140732345;0.5190733796158283;0.5164958103862836;0.5158262489644079;0.6187824782994453;0.5258875937929249;0.5114609380642811;0.5672140322799992
Engenharia Elétrica;0.5675429634330648;0.5646410517839995;0.5685091604228368;0.538620180336517;0.5917012085006571;0.6841816341740602;0.5245461972094683;0.55654896732276;0.5715536963151904;0.5946120259480498;0.5261146931853263;0.5348375502342028;0.5469118535901638;0.5309813055984178;0.527385581361098;0.5212221510700206;0.5389253178329415;0.5193396883196998;0.5306458875085587;0.5338185080064738;0.623845029843697;0.6358882453180171;0.6842717631805102;1.0;0.5590245188055886;0.7135858808103784;0.6517291039686813;0.6594381506208556;0.6271416240159826;0.7004943683172062;0.6518100246768759;0.5297255866700539;0.5255692062068248;0.5263085277159726;0.6193357203450943;0.5279560512308149;0.518218095765568;0.5164949879036724;0.5163562660896465;0.6074782258395575;0.5252380814690035;0.5086080606522002;0.5461107691813036
Engenharia Florestal;0.5510487987602394;0.5498608967489866;0.718012294410339;0.5217241134960852;0.63109244665924;0.5510307350653585;0.5373031185339615;0.6335054590451742;0.5472345904944703;0.5514257030945161;0.5154494865519625;0.5136340607077569;0.5243751046763089;0.5120815829071353;0.5167967686925815;0.5266374096350905;0.5166377724065326;0.5106201707312407;0.5549956486897003;0.5289112559033726;0.6707885035925384;0.6688901999204205;0.6057450652337384;0.5590245188055886;1.0;0.5754975216675531;0.6109195288318566;0.6017357022508818;0.6017740740560781;0.5822639006765811;0.5739613274720322;0.5747858201621869;0.51082098856547;0.511834689471691;0.5484247738660987;0.512278341441599;0.5526535376219861;0.5209045090231323;0.5152144772079083;0.6263815400686882;0.5119737150750041;0.5116813970974539;0.694020857914017
Engenharia Mecânica;0.5704320221712285;0.5713183783241708;0.5769888968775889;0.5397161239137116;0.5870076922558071;0.652519827652059;0.526410648853878;0.5600467894310408;0.5761278099938996;0.5887509970505331;0.520356140443462;0.526546269233215;0.5386828925807038;0.5221542225061826;0.5274490987143671;0.5234228341376964;0.5270837610360727;0.5145912577487637;0.5351826780979726;0.5263301810170693;0.664113427476221;0.6469270656312197;0.7359736230526612;0.7135858808103784;0.5754975216675531;1.0;0.6582383253002585;0.683594121016719;0.6392530119557366;0.7405638173682162;0.6435840086214872;0.5304214122230206;0.518863338630561;0.5189155024510508;0.5998793403185801;0.5157378650137951;0.5165432584552347;0.5148152139507985;0.5127644214475866;0.5968905227176908;0.5196714260358781;0.5091317214633337;0.5606902451187036
Engenharia Química;0.5571771871905139;0.5502816851170309;0.5967724816059362;0.5292822293484966;0.7390530861902348;0.6049316104779444;0.5249720117830377;0.5856368378614474;0.5561685988131158;0.5645077096709264;0.5175540966774277;0.5228944181862764;0.5278212533776876;0.5187039012677017;0.5208470244622396;0.5182811050628857;0.5230883385705742;0.5106786742686222;0.5352594224352392;0.525315341937171;0.6356989522329256;0.6988968937086273;0.6708155139402326;0.6517291039686813;0.6109195288318566;0.6582383253002585;1.0;0.6459841405531126;0.7051430243877067;0.6790950612391441;0.6566267035691551;0.5327515195717293;0.5162435374166033;0.5170091891017912;0.5713648130236294;0.514580368428496;0.5195081448417089;0.5143936080970454;0.5103153989428266;0.8324866025227121;0.5157723185643628;0.5060612631320804;0.5626664819950512
Engenharia de Agrimensura e Cartográfica;0.5868929025796074;0.5815429603227507;0.6066276471931434;0.590306158836653;0.5903001606902546;0.6851341705398564;0.5262274071127273;0.5617036423100603;0.5899164518355389;0.6016139416288708;0.5371224364507838;0.536679040735561;0.5534053387631857;0.5269857138520607;0.532560693281211;0.5275561058293878;0.5306310306171009;0.5219980872163024;0.5380586886171357;0.5313098760152162;0.6699719293722293;0.7153431912261266;0.8051380596770118;0.6594381506208556;0.6017357022508818;0.683594121016719;0.6459841405531126;1.0;0.620502704446085;0.6969778851954082;0.6252337762996478;0.6009194604573235;0.5277588828113001;0.524571031334228;0.6029444944055041;0.5186273109757602;0.5273903351613735;0.5170960105281155;0.5148251835753129;0.601543999978249;0.5283178148875022;0.5124914740409305;0.5736507155966521
Engenharia de Alimentos;0.5807214412453977;0.570403577497463;0.6269798747567648;0.5245827430473747;0.7031290070237787;0.621038968657616;0.6481444649342969;0.6201459428034949;0.5717954744611715;0.5794396271631377;0.5188316690753653;0.5235517980217509;0.5331413376241169;0.519315342675348;0.522809124113302;0.567826970337385;0.5243121747955274;0.5112565921105311;0.5424271442041526;0.542452855847073;0.6096172222433642;0.6400425955830605;0.6276094436123331;0.6271416240159826;0.6017740740560781;0.6392530119557366;0.7051430243877067;0.620502704446085;1.0;0.6968824794919201;0.6277753920884489;0.5300222248833737;0.5158292992979443;0.5165367700454049;0.5783871313158085;0.5197847258354897;0.5602103795213054;0.578823820979854;0.5115152340427342;0.6899632001050501;0.5180180497150783;0.5121548557863418;0.5878321661259011
Engenharia de Produção;0.6087251792973488;0.6153160764638839;0.5802841702613595;0.5389415385405644;0.6038747167715541;0.7216343921033997;0.547797165900454;0.5532945072683997;0.6065011518403663;0.6327539567299009;0.5250940155386082;0.5339131148673041;0.5612360337331513;0.5263169482101149;0.5304922910581309;0.5329441821032336;0.5332488314185343;0.5182290589714448;0.5414535038618623;0.5353908477200584;0.6279538778314109;0.6721786906700695;0.7175062831224978;0.7004943683172062;0.5822639006765811;0.7405638173682162;0.6790950612391441;0.6969778851954082;0.6968824794919201;1.0;0.6420180478528602;0.5402261438685023;0.521820830094272;0.5226063278766111;0.6142090545645553;0.5208902978676795;0.5267411521037096;0.5205248720922538;0.5165711597459619;0.6119745081419014;0.5263044014292054;0.5139706540653872;0.5678923270630047
Física ;0.5498666812678253;0.5330718478315938;0.5648502013426228;0.5165535605632071;0.6431654718064723;0.6405084693406196;0.5120182850404839;0.5627832574467916;0.5574209009024902;0.5599853251664695;0.5143536946201337;0.5172045644400985;0.520673384608459;0.5277862797934361;0.5122352193136852;0.5134878087189151;0.5267721817288837;0.5183412178605291;0.5418902427419231;0.5182072054108493;0.6093245949561804;0.619439812777339;0.6449195007121975;0.6518100246768759;0.5739613274720322;0.6435840086214872;0.6566267035691551;0.6252337762996478;0.6277753920884489;0.6420180478528602;1.0;0.525737967311714;0.5171945543874241;0.5183064119695062;0.6690790233883034;0.5162961779232615;0.5109448010479598;0.5110405559112005;0.5198935798265412;0.7321440657844861;0.5135346662767509;0.5055094405044042;0.544258147757647
Geografia ;0.5480848056065163;0.5466387793638863;0.5573127577615419;0.5540869027727221;0.5327252115472177;0.5428972980702651;0.5134266321880561;0.5429427511700663;0.5395823580530303;0.5960419380953603;0.5644388708846468;0.5753994225202055;0.5263396110469672;0.5113698234972098;0.5203618651000294;0.5185643993687863;0.5102497671517217;0.5166577751777196;0.5490203794742889;0.5172472382412461;0.5613459812129656;0.6024759574516427;0.5630648606182792;0.5297255866700539;0.5747858201621869;0.5304214122230206;0.5327515195717293;0.6009194604573235;0.5300222248833737;0.5402261438685023;0.525737967311714;1.0;0.5307475395171432;0.5139072973925566;0.5434071748543196;0.5055185768644612;0.5338154404618459;0.5092218335265081;0.515853503863934;0.5362379516848687;0.5177220898063586;0.5119415281279074;0.548912834652258
História ;0.5201808303040556;0.5172341749543263;0.5132974551239173;0.5913996315225717;0.5153166055003148;0.5303828449247784;0.5299499219945728;0.510052098070969;0.5223464842348936;0.5328503270300011;0.6174784421647296;0.6520885061757072;0.562469957294923;0.5722009305232909;0.5432208716525052;0.5377645763486973;0.5650350295782133;0.5800371025400003;0.5212452332704418;0.5418589261411234;0.5099197919936267;0.5177497088414401;0.5268252881235918;0.5255692062068248;0.51082098856547;0.518863338630561;0.5162435374166033;0.5277588828113001;0.5158292992979443;0.521820830094272;0.5171945543874241;0.5307475395171432;1.0;0.6231762185678279;0.5276229145848703;0.5160594644412748;0.527590666309158;0.5211184606027328;0.5933367845038825;0.5149897490218628;0.5458185279817577;0.5555747190435442;0.5078636721231573
